PRCLID,DIST,DESCRIPT,TAXARE,PROPCL,SCHOOLTAXABLE,COUNTYTAXABLE,TOTALTAXABLE
0802330076,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,603500,603500,603500
0802330077,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,657300,657300,657300
0802330078,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,704800,704800,704800
0802330079,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,633100,633100,633100
0802330080,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,620000,620000,620000
0802330081,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,724500,724500,724500
0802330082,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,714900,714900,714900
0802330083,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,649300,649300,649300
0802330084,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,648800,648800,648800
0802330085,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,706700,706700,706700
0802330086,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,698500,698500,698500
0802330087,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,685500,685500,685500
0802330088,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,628500,628500,628500
0802330089,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,598300,598300,598300
0802330090,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,644000,644000,644000
0802330091,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,658700,658700,658700
0802330092,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,629900,629900,629900
0802330093,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,632300,632300,632300
0802330094,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,672300,672300,672300
0802330095,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,659100,659100,659100
0802330096,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,609500,609500,609500
0802330097,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,596900,596900,596900
0802330098,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,626200,626200,626200
0802330099,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,611800,611800,611800
0802330100,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,661400,661400,661400
0802330101,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,591800,591800,591800
0802330102,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,659800,659800,659800
0802330103,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,607700,607700,607700
0802330104,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,663000,663000,663000
0802330105,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,680900,680900,680900
0802330106,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,640600,640600,640600
0802330107,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,677300,677300,677300
0802330108,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,623700,623700,623700
0802330109,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,650400,650400,650400
0802330110,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,595700,595700,595700
0802330111,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,631700,631700,631700
0802330112,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,674200,674200,674200
0802330113,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,740100,740100,740100
0802330114,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,592300,592300,592300
0802330115,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,675300,675300,675300
0802330116,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,607400,607400,607400
0802330117,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,620000,620000,620000
0802330118,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,618700,618700,618700
0802330119,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,637800,637800,637800
0802330120,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,657600,657600,657600
0802330121,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,647800,647800,647800
0802330122,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,648700,648700,648700
0802330123,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,630500,630500,630500
0802330124,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,658900,658900,658900
0802340057,TRS3,CHRISTINA SCHOOL DIST-TRES,8,R,639400,639400,639400
